"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Because there is no END to love #BAGHBAN",FALSE,0,NA,2014-05-09 17:50:31,FALSE,NA,"464824750574149632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nuralia_ismail",0,FALSE,FALSE,NA,NA
"2","pehle kabhi na mera haal aisa huwa___watching @BeingSalmanKhan #MahimaChaudhry #Baghban how cool this scene n song is http://t.co/YrQsoUIeXS",FALSE,1,NA,2014-05-09 06:02:58,FALSE,NA,"464646689635053568",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","BBeastIncarnate",0,FALSE,FALSE,NA,NA
"3","Hearing #baghban in the background amidst studies for tomorrow's exam.. absolutely love my @SouthAsianFC family.",FALSE,1,NA,2014-05-08 17:49:12,FALSE,NA,"464462032683937792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","melissajustine_",0,FALSE,FALSE,NA,NA
"4","RT @baba_gyaandev: Love thy parents..if you do, you will become a lead actor..if you don't you'll end up cleaning toilets in harpic ads! #b…",FALSE,0,NA,2014-05-08 07:22:07,FALSE,NA,"464304219848056832",NA,"web","Chota_Goldflake",1,TRUE,FALSE,NA,NA
"5","Love thy parents..if you do, you will become a lead actor..if you don't you'll end up cleaning toilets in harpic ads! #baghban",FALSE,0,NA,2014-05-08 06:17:37,FALSE,NA,"464287991330922496",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","baba_gyaandev",1,FALSE,FALSE,NA,NA
"6","Watching my favourite film #Baghban !! D film which touched my heart. Starring @SRBACHCHAN @beingsalmankhan @sirpareshrawal",FALSE,0,NA,2014-05-05 09:54:15,FALSE,NA,"463255345599889408",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","nowabhijit",0,FALSE,FALSE,NA,NA
"7","Watching my favourite film #Baghban !! D film which touched my heart. Starring @SRBACHCHAN @beinsalmankhan @sirpareshrawal",FALSE,0,NA,2014-05-05 09:53:54,FALSE,NA,"463255257280413696",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","nowabhijit",0,FALSE,FALSE,NA,NA
